,well,R2,mse,rmse,mae
0,Well-1,0.7477330088341481,0.05945235871573096,0.24382854368537527,0.18340606116353106
1,Well-2,0.550067450531166,0.11268986016729873,0.3356931041402232,0.22172268218277807
2,Well-3,-0.49703104656059827,0.4083967592001674,0.6390592767499486,0.5655218688535018
3,Well-4,0.713293241914924,0.0724197941695364,0.269109260653617,0.19251056223408153
4,Well-5,0.7625837497216033,0.10513328098417475,0.3242426267229137,0.2154989029432127
5,Well-6,0.3914395734464703,0.16473103951928775,0.4058707177406221,0.30390750795462856
6,Well-7,0.8060001503318004,0.06615917970868777,0.25721426808924847,0.18232207069934248
7,Well-8,0.8672819003812731,0.038015588844769486,0.1949758673394466,0.1366984139026052
8,Well-9,0.40551741395814134,0.2916415888163651,0.5400385067903631,0.29316052289076244
9,Well-10,0.860975322749354,0.41810981836261707,0.6466141185920835,0.35288028627494133
10,Well-11,0.1571652827684713,5.567321289838661,2.3595171730332165,0.9000823892226242
11,Well-12,-0.26081101581259447,0.40231628956028226,0.6342840763887126,0.3201856045431934
12,Well-13,0.9839250937685832,0.03896761199530889,0.19740215803103292,0.1706681239884783
13,Well-14,0.8544607895520697,0.050043714808563906,0.22370452567742993,0.15530089221649884
14,Well-15,0.5864611085736368,0.20308958513776512,0.4506546184582658,0.2539330549643074
15,Well-16,-0.5657936108199673,0.34483692636583857,0.5872281723196177,0.4521859551371542
