,WellPrediction,WellOriginal,WellAbs
0,43.02640914916992,42.81999999999999,0.2064091491699287
1,42.9984245300293,43.11,0.11157546997070256
2,43.388057708740234,43.28,0.10805770874023324
3,43.441043853759766,43.21,0.23104385375976477
4,43.383609771728516,43.28,0.10360977172851449
5,43.36357116699219,43.3,0.06357116699219034
6,43.444217681884766,43.37,0.07421768188476818
7,43.70994186401367,43.5,0.20994186401367188
8,43.72719192504883,43.33,0.39719192504882983
9,43.45024871826172,43.33,0.12024871826172046
10,43.445220947265625,43.010000000000005,0.4352209472656199
11,43.05036163330078,43.05,0.00036163330078409217
12,43.14203643798828,42.99,0.15203643798827926
13,43.0740852355957,42.91,0.16408523559570654
14,42.99760818481445,43.12,0.12239181518554432
15,43.286563873291016,43.18,0.10656387329101591
16,43.31843948364258,43.21,0.10843948364257727
17,43.29813003540039,43.23,0.06813003540039375
18,43.32699203491211,43.16,0.16699203491211279
19,43.277103424072266,43.18,0.09710342407226591
20,43.32636260986328,43.03,0.2963626098632801
21,43.24151611328125,43.26,0.01848388671874801
22,43.43270492553711,43.28,0.15270492553710824
23,43.5163459777832,43.19,0.3263459777832054
24,43.29841232299805,43.14,0.1584123229980463
25,43.301273345947266,43.16,0.14127334594726904
26,43.351165771484375,43.14,0.21116577148437443
27,43.224952697753906,43.18,0.044952697753906534
28,43.146549224853516,43.28,0.1334507751464855
29,43.54960632324219,43.3,0.24960632324219034
30,43.27348327636719,43.28,0.006516723632813637
31,43.41004943847656,43.529999999999994,0.11995056152343153
32,43.745155334472656,43.459999999999994,0.2851553344726625
33,43.45146560668945,43.47,0.018534393310545738
34,43.79726028442383,43.7,0.09726028442382528
35,43.79520797729492,43.37,0.42520797729492443
36,43.4050178527832,43.5,0.09498214721679688
37,43.65788650512695,43.74,0.08211349487304886
38,43.973209381103516,43.78,0.1932093811035145
39,43.929988861083984,43.88,0.04998886108398182
40,43.94206237792969,43.81,0.13206237792968523
41,44.007503509521484,43.69,0.31750350952148665
42,43.86809539794922,43.35,0.5180953979492173
43,43.5203971862793,43.52,0.0003971862792937486
44,43.55956268310547,43.3,0.2595626831054716
45,43.36459732055664,43.31,0.05459732055663835
46,43.40064239501953,43.27,0.13064239501952812
47,43.34540557861328,43.25,0.09540557861328125
48,43.34904479980469,43.31,0.039044799804685226
49,43.510623931884766,43.28,0.2306239318847645
50,43.400352478027344,43.25,0.15035247802734375
51,43.31740951538086,43.34,0.022590484619144036
52,43.491310119628906,43.22,0.2713101196289074
53,43.392974853515625,43.21,0.18297485351562415
54,43.34206771850586,43.21,0.13206771850585852
55,43.36774826049805,43.06,0.3077482604980446
56,43.24736404418945,43.07999999999999,0.16736404418946194
57,43.23922348022461,42.98,0.2592234802246125
58,43.10051345825195,43.02,0.08051345825195
59,43.19752502441406,43.35,0.15247497558593892
60,43.73530960083008,43.55,0.18530960083008097
61,43.70665740966797,43.52,0.18665740966796562
62,43.60514450073242,43.61,0.0048554992675775566
63,43.78233337402344,43.8,0.017666625976559658
64,44.03892135620117,43.89,0.1489213562011713
65,44.15264129638672,43.93,0.22264129638671903
66,43.92826461791992,43.89,0.03826461791992131
67,44.16666793823242,43.83,0.3366679382324236
68,43.75458908081055,43.64,0.1145890808105463
69,43.79135513305664,43.39000000000001,0.40135513305663295
70,43.576690673828125,43.26,0.316690673828127
71,43.39836502075195,43.35,0.048365020751951704
72,43.42361068725586,43.22,0.2036106872558605
73,43.445228576660156,43.44,0.005228576660158524
74,43.47451400756836,43.7,0.22548599243164347
75,43.86506652832031,43.74,0.1250665283203105
76,43.94380187988281,43.86,0.08380187988281307
77,44.12916564941406,43.8,0.32916564941406534
78,43.979522705078125,43.55,0.42952270507812784
79,43.73242950439453,43.52,0.21242950439452812
80,43.7098388671875,43.31,0.3998388671874977
81,43.38774490356445,43.13000000000001,0.25774490356444346
82,43.30723190307617,43.02,0.28723190307616875
83,43.18036651611328,43.1,0.08036651611327983
84,43.25664520263672,43.27,0.013354797363284376
85,43.43980407714844,43.3,0.13980407714844034
86,43.593257904052734,43.37,0.22325790405273693
87,43.40708923339844,43.29,0.11708923339843835
88,43.4586067199707,43.459999999999994,0.0013932800292906222
89,43.74238204956055,43.529999999999994,0.21238204956055284
90,43.668235778808594,43.64,0.02823577880859318
91,43.89336013793945,43.7,0.19336013793945028
92,43.791221618652344,43.839999999999996,0.048778381347652555
93,44.04345703125,43.66,0.3834570312500034
94,43.77516555786133,43.78,0.004834442138673012
95,44.12822723388672,43.59,0.5382272338867153
96,43.50743865966797,43.64,0.13256134033203182
97,43.7876091003418,42.59,1.1976091003417935
98,43.03044128417969,42.57,0.4604412841796872
99,42.969261169433594,43.49,0.5207388305664082
100,43.699310302734375,43.52,0.17931030273437187
101,43.76316452026367,43.6,0.16316452026367045
102,43.7701530456543,43.63,0.14015304565429432
103,43.70916748046875,43.38,0.32916748046874744
104,43.396385192871094,43.6,0.20361480712890767
105,43.73201370239258,43.91,0.17798629760741846
106,44.2431526184082,44.12,0.12315261840820568
107,44.300350189208984,44.11,0.19035018920898494
108,44.202022552490234,44.53,0.32797744750976676
109,44.51664352416992,44.51,0.0066435241699238645
110,44.59530258178711,44.26,0.33530258178711136
111,44.256736755371094,44.02,0.23673675537109062
112,44.03605270385742,43.89,0.1460527038574213
113,43.992347717285156,43.77000000000001,0.22234771728514602
114,43.68354415893555,43.54,0.14354415893554773
115,43.59010696411133,43.47,0.12010696411132926
116,43.310081481933594,43.23,0.08008148193359688
117,43.293827056884766,43.19,0.1038270568847679
